Title,Abstract,First Claim,Target
DEEP LEARNING HARDWARE,"A network of matrix processing units (MPUs) is provided on a device, where each MPU is connected to at least one other MPU in the network, and each MPU is to perform matrix multiplication operations. Computer memory stores tensor data and a master control central processing unit (MCC) is provided on the device to receive an instruction from a host device, where the instruction includes one or more tensor operands based on the tensor data. The MCC invokes a set of operations on one or more of the MPUs based on the instruction, where the set of operations includes operations on the tensor operands. A result is generated from the set of operations, the result embodied as a tensor value.","1. An apparatus comprising:
a network of matrix processing units (MPUs), wherein each MPU is connected to at least one other MPU in the network, and each MPU is to perform matrix multiplication operations;
a memory to store tensor data; and
a master control central processing unit (MCC) to:
receive an instruction from a host device, wherein the instruction comprises one or more tensor operands based on the tensor data;
invoke a set of operations on one or more of the MPUs based on the instruction, wherein the set of operations comprises operations on the tensor operands; and
output a result of the set of operations, wherein the result comprises a tensor value.",Deep learning
DEEP LEARNING FOR CREDIT CONTROLS,Systems and methods are provided to identify abnormal transaction activity by a participant that is inconsistent with current conditions. Historical participant and external data is identified. A recurrent neural network identifies patterns in the historical participant and external data. A new transaction by the participant is received. The new transaction is compared using the patterns to the historical participant and external data. An abnormality score is generated. An alert is generated if the abnormality score exceeds a threshold.,"1. A computer implemented method for detecting a deviation from prior activity, inconsistent with current conditions, by a participant in a data transaction processing system in which data items are transacted by a hardware matching processor that matches electronic data transaction request messages for the same one of the data items based on multiple transaction parameters from different client computers over a data communication network, the method comprising:
identifying, by an activity module, in a memory, historic transaction data for the participant and historic external factor data;
identifying, by the activity module, one or more patterns in the historic transaction data and the historic external factor data using a structured neural network; the structured neural network comprising a layered plurality of interconnected processing nodes; wherein each connection of the plurality of interconnected processing nodes to another may be dynamically weighted; the one or more patterns indicative of historical normal activity by the participant in relation to the historic external factor data;
receiving, by the activity module, from the participant, an electronic data transaction request message comprising data indicative of a current transaction specifying a product, quantity, and value, and storing the received electronic data transaction request message in the memory;
calculating, by the activity module, current external factor data;
comparing, by the activity module, the data indicative of the transaction and the current external factor data with the one or more patterns;
generating, by the activity module, an abnormality score for the first electronic data transaction based on the comparison; and
generating, by the activity module, an alert when the abnormality score exceeds a first threshold.",Deep learning
Arithmetic processing device for deep learning and control method of the arithmetic processing device for deep learning,"A memory 11 stores therein first data and second data each of which has element data that forms a matrix. Arithmetic units 51 to 53 repeat, for each of a first predetermined row of the first data and a second predetermined row of the second data that are stored in the memory 11, by using the element data included in the first predetermined row and the element data included in the second predetermined row, a row portion operation based on the number of columns in the second data and performs, by using results of the row portion operations, an arithmetic operation process that acquires the operation results of the operation that uses the first data and the second data.","1. An arithmetic processing device comprising:
a processor, a memory and a product-sum calculator, the memory stores first data and second data each of which has element data that forms a matrix;
the product-sum calculator performs a row portion operation by performing, by sequentially shifting a predetermined position from a top by a predetermined number at a time, an operation that arranges, in an order of an arrangement in the first data, element data included in a first predetermined row that has a predetermined number of rows, that acquires first element data that corresponds to the element data arranged from the predetermined position to a number of columns of the second data, that multiplies each of the pieces of the acquired first element data by an associated pieces of the element data included in a second predetermined row that has the predetermined number of rows, and that sums multiplication results, and performs, by using results of the row portion operations, a convolution operation that is performed by shifting, by using the second data as weight data, arrangement positions of the second data in the first data by a predetermined number at a time, and
the processor performs an image recognition by using a result of the convolution operation.",Deep learning
Integrated deep learning and clinical image viewing and reporting,"Integrated deep learning and clinical image viewing and reporting are provided. In some embodiments, a clinical image is received. An annotated image is generated from the clinical image by application of a deep learning system. At least one clinical finding is generated from the clinical image by application of the deep learning system. The annotated image and the at least one clinical finding are provided to a user. A structured report is generated based on the annotated image and the at least one clinical finding.","1. A method comprising:
receiving a clinical image;
generating an annotated image from the clinical image by application of a deep learning system;
generating at least one clinical finding based on the clinical image by application of the deep learning system;
providing the annotated image and the at least one clinical finding to a user;
generating a structured report based on the annotated image and the at least one clinical finding.",Deep learning
Image crop suggestion and evaluation using deep-learning,"Various embodiments describe using a neural network to evaluate image crops in substantially real-time. In an example, a computer system performs unsupervised training of a first neural network based on unannotated image crops, followed by a supervised training of the first neural network based on annotated image crops. Once this first neural network is trained, the computer system inputs image crops generated from images to this trained network and receives composition scores therefrom. The computer system performs supervised training of a second neural network based on the images and the composition scores.","1. A computer-implemented method, the method comprising:
performing, by a computer system, an unsupervised training of a first neural network based on unannotated image crops from a first set of training images, the unsupervised training comprising updating parameters of the first neural network associated with generating a composition score of one or more of the unannotated image crops;
performing, by the computer system upon completion of the unsupervised training, a first supervised training of the first neural network based on a set of annotated image crops from the first set of training images further by updating the parameters of the first neural network;
generating, by the computer system, a set of additional image crops from a second set of training images, wherein the set of additional image crops is generated based on predefined crop areas;
receiving, by the computer system, from the first neural network, and upon completion of the first supervised training, a set of composition scores corresponding to the set of additional image crops, the set of composition scores based on inputting the set of additional image crops to the first neural network;
performing, by the computer system, a second supervised training of a second neural network based on the second set of training images and the set of composition scores, the second supervised training comprising updating parameters of the second neural network associated with evaluating compositions of the predefined crop areas; and
providing, by the computer system and to an image application, information about a composition of an input image crop within an input image, the composition based on at least one of: an output from the first neural network or an output from the second neural network.",Deep learning
Compression in machine learning and deep learning processing,"Embodiments are generally directed to compression in machine learning and deep learning processing. An embodiment of an apparatus for compression of untyped data includes a graphical processing unit (GPU) including a data compression pipeline, the data compression pipeline including a data port coupled with one or more shader cores, wherein the data port is to allow transfer of untyped data without format conversion, and a 3D compression/decompression unit to provide for compression of untyped data to be stored to a memory subsystem and decompression of untyped data from the memory subsystem.","1. An apparatus for compression of 3D graphics data and untyped data comprising:
a graphical processing unit (GPU) including a data compression pipeline for typed 3D graphics data and untyped data, the data compression pipeline including:
a data port coupled with one or more shader cores, wherein the data port is to convert typed 3D graphics data to a format for pixel data and is to allow transfer of untyped data without format conversion, and
a 3D compression/decompression unit to provide for compression and decompression of both typed 3D data and untyped data, wherein untyped data is to be compressed to be stored to a memory subsystem and is to be decompressed to be read from the memory subsystem;
wherein the apparatus is to utilize blocks based at least in part on data hashing to store 3D data and is to utilize fixed sequential blocks for storage of untyped data.",Deep learning
Deep-learning-based automatic skin retouching,"Embodiments disclosed herein involve techniques for automatically retouching photos. A neural network is trained to generate a skin quality map from an input photo. The input photo is separated into high and low frequency layers which are separately processed. A high frequency path automatically retouches the high frequency layer using a neural network that accepts the skin quality map as an input. A low frequency path automatically retouches the low frequency layer using a color transformation generated by a second neural network and the skin quality map. The retouched high and low frequency layers are combined to generate the final output. In some embodiments, a training set for any or all of the networks is enhanced by applying a modification to an original image from a pair of retouched photos in the training set to improve the resulting performance of trained networks over different input conditions.","1. One or more non-transitory computer storage media storing computer-useable instructions that, when used by one or more computing devices, cause the one or more computing devices to perform operations comprising:
automatically generating a skin quality map from a skin mask of an input image, wherein the skin mask identifies regions of skin in the input image, and wherein the skin quality map is a probability map comprising a probability for each analyzed region that the analyzed region needs retouching;
separating the skin mask into a high frequency layer and a low frequency layer;
providing the skin quality map as an input into a first neural network configured to perform texture synthesis on the high frequency layer to generate a retouched high frequency layer;
applying a color transformation to the low frequency layer to generate a retouched low frequency layer, wherein parameters of the color transformation are generated using a second neural network and upsampled using the skin quality map; and
combining the retouched high frequency layer and the retouched low frequency layer.",Deep learning
Deep learning system for recognizing pills in images,"A system and method is provided that utilizes deep learning, including convolutional neural networks, to identify subject objects in unconstrained user images such as unknown pills. An image of, e.g., a pill, may be captured and subsequently processed using deep learning models to identify the pill. The deep learning models may be optimized to have a small footprint (in terms of computational and memory resources) suitable for a resource-limited device such as a smartphone while retaining a high object recognition accuracy. Each such model may also be run on modified versions of the unconstrained image, for example on color, greyscale, and gradient images, to focus the models on different distinguishing features of the object.","1. A method for pill identification comprising:
obtaining, via an electronic device, an image of a subject pill to be identified;
preprocessing the image to obtain at least a coarse location of the subject pill, using at least one of a processor of the electronic device and a processor of a cloud server;
generating feature arrays corresponding to features of the image using each of a set of convolutional neural networks (CNNs) running on at least one of the processor of the electronic device and the processor of the cloud server;
determining a probable identity of the subject pill based on the feature arrays generated by the set of CNNs; and
communicating the probable identity of the subject pill for a user via a screen of the electronic device.",Deep learning
Deep learning and intelligent sensing system integration,"Disclosed herein are systems, methods, and apparatuses for deep learning and intelligent sensing system integrations. A processor may be configured to receive a plurality of images from the sensor system, identify objects in the images in an offline mode, classify the objects in the images in the offline mode, generate heat maps in the offline mode, and send instructions regarding operation of the maritime vessel based on the objects that are identified. The visual sensor may be a stereoscopic camera. The processor may be further configured to perform stereoscopy. The instructions may include a speed or a heading of, for example, a maritime vessel.","1. A system comprising:
a sensor system disposed on a maritime vessel, the sensor system including a visual sensor; and
a processor in electronic communication with the sensor system, wherein the processor is configured to:
receive a plurality of images from the sensor system;
identify objects in the images in an offline mode by assigning a label to each pixel in the images and segmenting two or more objects in the images;
classify the objects in the images in the offline mode;
generate a disparity map in the offline mode depicting a distance of matter in each pixel from the sensor system; and
send instructions regarding operation of the maritime vessel based on the objects that are identified, and wherein the instructions include a speed or a heading.",Deep learning
Image labeling for cleaning robot deep learning system,"A computer-implemented method for labeling images includes capturing, using an augmented-reality enabled device, a first set of images that include views of a first object; at the augmented-reality enabled device, for each of the first set of images, identifying the first object and generating a bounding box that is associated with the first object; receiving an input providing a first label for the first object; and at the augmented-reality enabled device, for each of at least some of the first set of images, associating the first label with the first object bound by the bounding box.","1. A computer-implemented method comprising:
receiving, at one or more data processors, a first set of images that include views of a first object;
establishing a coordinate system of a virtual space that corresponds to a real-world space in which the first object is located;
receiving a first input identifying the first object in one of the first set of images, the first input providing a first label for the first object, the first label indicative of an identity of the first object;
receiving a second input for overlaying a virtual object on the first object in the one of the first set of images; and
processing, using the one or more data processors, the other ones of the first set of images, including:
automatically overlaying the virtual object on the first object in the other ones of the first set of images,
automatically identifying the first object in the other ones of the first set of images based on the virtual object in the other ones of the first set of images, and automatically associating the first object with the first label.",Deep learning
Harmonizing composite images using deep learning,"Methods and systems are provided for generating harmonized images for input composite images. A neural network system can be trained, where the training includes training a neural network that generates harmonized images for input composite images. This training is performed based on a comparison of a training harmonized image and a reference image, where the reference image is modified to generate a training input composite image used to generate the training harmonized image. In addition, a mask of a region can be input to limit the area of the input image that is to be modified. Such a trained neural network system can be used to input a composite image and mask pair for which the trained system will output a harmonized image.","1. A computer-implemented method for training a neural network system to harmonize composite images, the method comprising:
receiving, by a neural network, a training composite image wherein the training composite image comprises a reference image with a modified region;
generating, via the neural network, a training harmonized image from the training composite image received by the neural network, wherein, to generate the training harmonized image, the neural network changes coloration of the modified region of the training composite image to harmonize the modified region with the training composite image; and
training the neural network based on a comparison of the generated training harmonized image and the reference image.",Deep learning
Deep learning enhanced code completion system,"A code completion tool uses a deep learning model to predict the likelihood of a method completing a method invocation. In one aspect, the deep learning model is a LSTM trained on features that represent the syntactic context of a method invocation derived from an abstract tree representation of the code fragment.","1. A method, comprising:
obtaining training samples to train a deep learning model, the training samples representing a plurality of ordered sequences of tokens, an ordered sequence of tokens represents a syntactic context of a method invocation;
inputting the training samples into the deep learning model;
training the deep learning model with the training samples to output, a plurality of probabilities, a probability associated with a select token from a vocabulary of tokens used in the plurality of ordered sequences of tokens, wherein during the training of the deep learning model, at least one predicted embedding vector is generated representing a training sample, the at least one predicted embedding vector obtained as the product of a last temporal hidden state of the deep learning model and a linear projection matrix; and
incorporating the deep learning model into a code completion tool for use in completing a code fragment initiating a method invocation.",Deep learning
Classifying software scripts utilizing deep learning networks,"A method includes generating a tokenized representation of a given software script, the tokenized representation comprising two or more tokens representing two or more commands in the given software script. The method also includes mapping the tokens of the tokenized representation to a vector space providing contextual representation of the tokens utilizing an embedding layer of a deep learning network, detecting sequences of the mapped tokens representing sequences of commands associated with designated types of script behavior utilizing at least one hidden layer of the deep learning network, and classifying the given software script based on the detected sequences of the mapped tokens utilizing one or more classification layers of the deep learning network. The method further includes modifying access by a given client device to the given software script responsive to classifying the given software script as a given software script type.","1. A method comprising:
generating a tokenized representation of a given software script, the tokenized representation comprising two or more tokens representing two or more commands in the given software script;
mapping the tokens of the tokenized representation to a vector space providing contextual representation of the tokens utilizing an embedding layer of a deep learning network;
detecting sequences of the mapped tokens representing sequences of commands associated with designated types of script behavior utilizing at least one hidden layer of the deep learning network;
classifying the given software script based on the detected sequences of the mapped tokens utilizing one or more classification layers of the deep learning network; and
modifying access by a given client device to the given software script responsive to classifying the given software script as a given software script type;
wherein generating the tokenized representation comprises:
generating an array comprising a set of ordered token values corresponding to an order of the tokens in the given software script, wherein a given one of the token values comprises either (i) an index value representing a known script command in a vocabulary of known script commands of a scripting language utilized by the given software script or (ii) a designated value representing an unknown script command not in the vocabulary of known script commands;
determining whether the array comprises a representation of a first type, the representation of the first type comprising at least a threshold number of consecutive instances of the designated value representing unknown script commands between a first token of the array comprising a first index value representing one of the known script commands and a second token of the array comprising a second index value representing one of the known script commands; and
responsive to determining that the array comprises the representation of the first type, converting the representation of the first type to a representing of a second type different than the first type by altering at least one of an ordering and a number of token values in the array having the designated value representing unknown script commands such that there is less than the threshold number of consecutive instances of the designated value representing unknown script commands between the first token and the second token;
wherein the method is performed by at least one processing device comprising a processor coupled to a memory.",Deep learning
Nucleic acid transfer vector for the introduction of nucleic acid into the DNA of a cell,The present invention provides for transposon vectors encoding expression control region-traps and gene-traps. Also provided are dicistronic vectors. Certain embodiments of the invention contain internal ribosome entry sites.,"1. A method for identifying the function of an analyte coding sequence comprising:
(a) introducing into an isolated or cultured vertebrate cell
i. a nucleic acid fragment comprising a nucleic acid sequence comprising (i) a detectable marker coding sequence encoding a detectable marker or a selectable marker, (ii) an analyte coding sequence located 5â€² of the detectable marker coding sequence and (iii) an internal ribosome entry site located therebetween, the internal ribosome entry site being operably linked to the detectable marker coding sequence, the nucleic acid fragment positioned between at least two inverted repeats that can bind to an SB protein, the inverted repeats comprising at least one direct repeat comprising a nucleic acid sequence selected from the group consisting of SEQ ID NO:6, SEQ ID NO:7, SEQ ID NO:8, SEQ ID NO:9 and SEQ ID NO:10, and wherein the SB protein comprises an amino acid sequence having at least 80% identity to SEQ ID NO:1, is capable of binding to the inverted repeat sequence of at least one of SEQ ID NO:4 and SEQ ID NO:5, and is capable of catalyzing the integration of the nucleic acid fragment into DNA in an isolated or cultured vertebrate cell; and
ii. a transposase source selected from the group consisting of a transposase and a nucleic acid encoding a transposase, wherein the transposase is an SB protein;
(b) detecting the detectable marker or the selectable marker in the cell or its progeny containing the nucleic acid fragment, wherein the expression of the detectable maker or the selectable marker indicates that the nucleic acid fragment has integrated into the DNA of the cell and that the analyte coding sequence is expressed; and
(c) determining whether a phenotype of the cell or its progeny containing the nucleic acid fragment is altered in comparison to a cell that does not comprise the nucleic acid fragment, wherein an altered phenotype indicates that the analyte coding sequence plays a function in the phenotype.",Nucleic acid(DNA)
Nucleic acid transfer vector for the introduction of nucleic acid into the DNA of a cell,This invention relates to a system for introducing nucleic acid into the DNA of a cell. The system includes the use of a member of the SB family of transposases (SB) or nucleic acid encoding the transposase and a nucleic acid fragment that includes a nucleic acid sequence with flanking inverted repeats. The transposase recognizes at least a portion of an inverted repeats and incorporates the nucleic acid sequence into the DNA. Methods for use of this system are discussed.,"1. A nucleic acid fragment comprising:
a nucleic acid sequence positioned between at least two inverted repeats that bind to an SB protein, the inverted repeats comprising at least one direct repeat, wherein each direct repeat comprises a nucleic acid sequence that has at least 80% nucleic acid sequence identity to SEQ ID NO:10 and wherein each direct repeat binds to the SB protein;
wherein the SB protein comprises an amino acid sequence having at least 80% identity to SEQ ID NO:1 and binds to at least one of SEQ ID NO:4 and SEQ ID NO:5.",Nucleic acid(DNA)
BINARY DNA PROBE FOR FLUORESCENT ANALYSIS OF NUCLEIC ACIDS,"The invention is directed to binary oligonucleotide probes for nucleic analysis, which probes can be made of DNA or RNA that recognize nucleic acid analytes (both DNA and RNA) with unprecedented high selectivity under mild conditions and are highly sensitive to single nucleotide mismatches (SNP single nucleotide polymorphisms) without PCR amplification. In one group, the binary probes indicate that they have hybridized to a particular nucleic analyte by binding to a molecular beacon that gives off a fluorescent signal. A second group of binary probes bind to a dye such as malachite green, where upon hybridization to analyte the fluorescence of the dye increases dramatically and is easily detected and measured. The new binary probes require only about five minutes at room temperature to generate a detectable signal.","1. A non-naturally occurring, noncatalytic oligonucleotide probe for detecting a single-stranded oligonucleotide analyte, comprising two oligonucleotide strands, wherein
(1) a first oligonucleotide strand comprises:
a. at its 5â€²-terminus a reporter binding arm that is complementary to and is capable of selectively hybridizing with a reporter, and
b. at its 3â€²-terminus, a first analyte binding arm that is complementary to and is capable of selectively hybridizing with a first region of the oligonucleotide analyte, and
(2) a second oligonucleotide strand comprises:
a. at its 3â€²-terminus a reporter binding arm that is complementary to and is capable of selectively hybridizing with a nucleotide sequence in the reporter, and
b. at its 5â€²-terminus, a second analyte binding arm that is complementary to and is capable of selectively hybridizing with a second region of the oligonucleotide analyte.",Nucleic acid(DNA)
DNA data storage using reusable nucleic acids,"Disclosed herein are nucleic acid-based data storage systems and nucleic acid data storage constructs comprising reusable nucleic acid sequences, each representing information carried by a single bit (and, in some embodiments, one or more adjacent bits) within a bit string, and each furthermore representing the position of the single bit within the bit string. Also described are methods for storing data in the nucleic acid-based data storage systems and nucleic acid data storage constructs of the disclosure.","1. A collection of data storage nucleic acids comprising:
a plurality of data storage nucleic acids, each data storage nucleic acid comprising one of N different bit-mer sequences,
wherein each bit-mer sequence represents information carried by a single bit in a primary bit string n bits in length,
wherein each bit-mer sequence represents a position of the single bit within the primary bit string, and
wherein:
(i) N equals n where the primary bit string is a binary bit string, wherein each data storage nucleic acid comprising one of N different bit-mer sequences can be present or absent in the collection of data storage nucleic acids, and wherein the presence of a data storage nucleic acid comprising a particular bit-mer sequence denotes a 1 and the absence of data storage nucleic acid comprising a particular a bit-mer sequence denotes a 0 at a particular position within the primary bit string, or vice versa;
(ii) N equals 2Â·n where the primary bit string is a binary bit string, and where each of n bit-mer sequences denote a 1 at a particular position within the primary bit string and each of the other n bit-mer sequences denote a 0 at a particular position within the primary bit string; and
(iii) N equals BÂ·n where the primary bit string is a base-B bit string where B is greater than 2, and where each of BÂ·n bit-mer sequences represents a particular base-B digit at a particular position within the primary bit string.",Nucleic acid(DNA)
cDNA library for nucleic acid sequencing,"The present invention is directed to compositions and methods for nucleic acid identification and detection. Compositions and methods of the present invention include extracting and fragmenting target nucleic acids from a sample, using the fragmented target nucleic acids to produce target nucleic acid templates and subjecting those target nucleic acid templates to amplification methods to form nucleic acid nanoballs. The invention also includes methods of detecting and identifying sequences using various sequencing applications, including sequencing by ligation methods.","1. A method for preparing a library of DNA copies of a plurality of RNA molecules, comprising:
(a) fragmenting the plurality of RNA molecules to produce RNA fragments having a 5â€² end and a 3â€² end;
(b) producing RNA constructs by adding a 5â€²-RNA oligonucleotide adaptor segment so that it becomes ligated to the 5â€² end of the RNA fragments and adding a 3â€²-RNA oligonucleotide adaptor segment so that it becomes ligated to the 3â€² end of the RNA fragments;
(c) preparing double-stranded DNA copies of the RNA constructs; and
(d) producing a library of circularized double-stranded DNA copies of said RNA fragments, wherein the circularized DNA copies comprise an adaptor that contains a complete DNA copy of the entire 5â€²-RNA oligonucleotide adaptor segment joined to the entire 3â€²-RNA oligonucleotide adaptor segment.",Nucleic acid(DNA)
Nucleic acid enzymes for cleaving DNA,The present invention discloses nucleic acid enzymes capable of cleaving single-stranded DNA in a site specific manner.,"1. A method for specifically cleaving a single-stranded DNA molecule, comprising the steps of:
(a) providing a first RNA molecule that is a group I intron that cleaves a second RNA molecule to leave a 3'-OH, said first RNA molecule having a deoxyribonuclease activity; and
(b) contacting said first RNA molecule with said single-stranded DNA molecule under conditions which allow said first RNA molecule to cause said single-stranded DNA molecule to be cleaved, said conditions including providing Mg.sup.2+ ions and guanosine or guanosine triphosphate at a pH between about 6.0 and about 9.0 and a temperature between about 15.degree. C. and about 60.degree. C.",Nucleic acid(DNA)
DNA SHUFFLING TO PRODUCE NUCLEIC ACIDS FOR MYCOTOXIN DETOXIFICATION,"Methods of shuffling nucleic acids to acquire or enhance mycotoxin detoxification activity, libraries of shuffled mycotoxin detoxification nucleic acids, transgenic cells, plants and DNA shuffling mixtures are provided.","1. A method of making a nucleic acid encoding a polypeptide having mycotoxin detoxification activity, the method comprising:
recombining at least two variant forms of a nucleic acid with each other to form a plurality of sequence-shuffled polynucleotides, wherein the variant forms encode mycotoxin detoxification polypeptides having mycotoxin detoxification activity and an optimal pH or optimal pH range associated with that activity; and wherein the mycotoxin detoxification activity of said mycotoxin detoxification polypeptides is reduced at pH levels that are higher or lower than the corresponding optimal pH or optimal pH range;
transferring said plurality of sequence-shuffled polynucleotides into a plurality of host cells, wherein each sequence-shuffled polynucleotide is operably linked to a promoter as part of a recombinant expression cassette; thereby forming a library of tranformants wherein the sequence-shuffled polynucleotides are expressed;
screening said library for transformants that express a recombinant mycotoxin detoxification polypeptide having improved pH stability, wherein improved pH stability is defined as a decreased susceptibility to reduction in mycotoxin detoxification activity under conditions where the pH is higher or lower than the optimal pH or optimal pH range compared to mycotoxin detoxification polypeptides encoded by said variant forms, thereby identifying a transformant that expresses a recombinant mycotoxin detoxification polypeptide having improved pH stability; and
recovering from said identified transformant a polynucleotide comprising a sequence encoding the recombinant mycotoxin detoxification polypeptide having improved pH stability.",Nucleic acid(DNA)
Methods and transposon nucleic acids for generating a DNA library,"A method for the generation of DNA fragmentation library based on a transposition reaction in the presence of a transposon end with an engineered cleaveage site providing facilitated downstream handling of the produced DNA fragments, e.g., in the generation of sequencing templates. Transposon nucleic acids comprising a transposon end sequence and an engineered cleaveage site located in the sequence, e.g., in Mu transposon end sequence, are disclosed.","1. An in vitro method for fragmenting DNA, comprising:
a) forming a plurality of transposon complexes by contacting
(i) a plurality of modified transposon end sequences, with
(ii) a plurality of MuA transposase enzymes,
wherein the plurality of modified transposon end sequences are double-stranded nucleic acids having a double-stranded region and a 5â€² overhang region, and comprise top and bottom nucleic acid strands, and have MuA R1 and MuA R2 sequences that bind an MuA transposase enzyme, wherein the top or bottom nucleic acid strand contains a recognition sequence that is recognized by a methylation-dependent restriction endonuclease, wherein the recognition sequence includes a 5-methylcytosine, and wherein the recognition sequence is located in the double-stranded region, and wherein the restriction endonuclease enzyme can cleave the top and bottom nucleic acid strands outside of the recognition sequence to generate an overhang end;
b) contacting the plurality of transposon complexes with a plurality of target DNA molecules;
c) incubating the plurality of transposon complexes and the plurality of target DNA molecules under conditions suitable for transposition of the transposon complexes into the target DNA molecules and for fragmenting the target DNA to produce a plurality of fragmented DNA molecules having both ends joined to the modified transposon end sequence, wherein the modified transposon end sequences that are joined to the fragmented DNA molecules include the methylation-dependent restriction endonuclease recognition sequence that includes the 5-methylcytosine; and
d) producing a plurality of cleaved DNA fragments by contacting the plurality of fragmented DNA molecules with the methylation-dependent restriction endonuclease enzyme.",Nucleic acid(DNA)
"Modified thermostable DNA polymerase, and DNA polymerase composition for nucleic acid amplification","
A modified thermostable DNA polymerase having 5 % or less of the 3'-5' exonuclease activity of the enzyme before modification and a DNA polymerase composition for amplifying nucleic acid, which comprises the modified thermostable DNA polymerase having 0 to 5 % of the 3'-5' exonuclease activity of the enzyme before modification and an unmodified thermostable DNA polymerase having 3'-5' exonuclease activity or a modified thermostable DNA polymerase having 100 to 6 % of the 3'-5' exonuclease activity of a thermostable DNA polymerase before modification; a method for amplifying nucleic acid by use of said modified thermostable polymerase or said DNA polymerase composition; and a reagent therefor.
","1. A modified thermostable DNA polymerase having the following physicochemical properties:action:it has a DNA polymerase activity and has 5% or less of the 3'-5' exonuclease activity of the enzyme before modification;DNA extension rate:at least 30 bases/second; andthermostability:it is capable of maintaining 60% or more residual activity at pH 8.8 (determined at 25Â°C) after treatment at 95Â°C for 6 hours;optimum temperature:about 75Â°C;molecular weight:88 to 90 kDa; andamino acid sequence:as shown in SEQ ID NO: 2 in which at least one of amino acids at the 141-, 143-, 210- and 311-positions has been replaced by another amino acid.",Nucleic acid(DNA)
METHOD OF DETECTING NUCLEIC ACID BY USING DNA MICROARRAYS AND NUCLEIC ACID DETECTION APPARATUS,"
A nucleic acid contained in a sample is quantified with high accuracy. The procedure includes the step of allowing the sample containing a specific nucleic acid to interact with a DNA microarray provided with a plurality of nucleic acid probe parts having a nucleic acid probe capable of hybridizing to the specific nucleic acid; the step of monitoring outputs from each of the plurality of nucleic acid probe parts due to hybridization between the nucleic acid probe and the specific nucleic acid to determine normal distribution of time taken to reach a predetermined output value with respect to each of the plurality of nucleic acid probe parts; and the step of quantifying the specific nucleic acid contained in the sample based on a maximum value determined from the normal distribution obtained in the above step.
","1. A method of detecting a specific nucleic acid by using a DNA microarray, comprising the steps of
allowing a sample containing nucleic acids to interact with the DNA microarray (1) comprising a plurality of nucleic acid probe parts (2) each having a nucleic acid probe (6) capable of hybridizing to the specific nucleic acid; and
monitoring outputs from the plurality of nucleic acid probe parts (2) due to hybridization between the nucleic acid probe (6) and the specific nucleic acid,
characterized by the steps of
determining a distribution, per unit time, of the number of the nucleic acid probe parts (2) whose output exceeds a predetermined value; and
quantifying the specific nucleic acid contained in the sample based on a maximum value determined by normalizing said distribution.",Nucleic acid(DNA)
Amplification and detection of mycobacterial DNA K nucleic acids,Methods for identification or detection of a species of an organism or a group of related species of an organism by species non-specific amplification of a target sequence followed by species- or group-specific detection of the amplification products. Also provided are a target sequence which is amplifiable in multiple species of mycobacteria using a single pair of amplification primers and species- and group-specific detector probes for hybridization to the assay regioin of the amplified target. Blocking oligonucleotides are employed to allow discrimination among species in which the amplified target sequences are sufficiently similar that they cross-hybridize to an assay probe.,"1. A set of oligonucleotides for amplification of a DNA K target sequence   in Mycobacteria comprising a) a first amplification primer consisting of   the target binding sequence of SEQ ID NO: 1 and, optionally, a non-target  binding sequence for amplification of the target sequence, and (b) a       second amplification primer consisting of the target binding sequence of   SEQ ID NO: 2 and, optionally the non-target binding sequence for           amplification of the target sequence.",Nucleic acid(DNA)
Cleaving double-stranded DNA with peptide nucleic acids,"Peptide nucleic acids and analogues of peptide nucleic acids are used to form duplex, triplex, and other structures with nucleic acids and to modify nucleic acids. The peptide nucleic acids and analogues thereof also are used to modulate protein activity through, for example, transcription arrest, transcription initiation, and site specific cleavage of nucleic acids.","1. A process for cleaving double-stranded DNA, comprising:
contacting said DNA with a compound having formula III, IV or V: ##STR5## wherein: each L is independently selected from the group consisting of hydrogen, phenyl, heterocyclic moieties, naturally occurring nucleobases, and non-naturally occurring nucleobases;
each R.sup.7 is independently selected from the group consisting of hydrogen and the side chains of naturally occurring alpha amino acids;
n is an integer from 1 to 60, each k, l, and m is, independently, zero or an integer from 1 to 5;
each p is zero or 1;
R.sup.h is OH, NH.sub.2 or --NHLysNH.sub.2 ; and
R.sup.j is H or COCH.sub.3 ; thereby binding said compound to said DNA proximal to a DNA restriction site;
treating said DNA with a restriction enzyme that recognizes and cleaves said DNA at said restriction site; and
identifying at least one product of said cleavage.",Nucleic acid(DNA)
