Title,Abstract,First Claim,Target
Statistical Machine Learning,"Statistical machine learning, in which an input module receives user input that defines a hypothesis associated with a particular output. The hypothesis defines one or more starting criteria that are proposed as being correlated with the particular output, and a recommendation engine initially provides recommendations that include the particular output based on the one or more starting criteria defined by the hypothesis. An experience analytics system receives feedback data related to whether the recommendations provided based on the one or more starting criteria defined by the hypothesis were successful and modifies the hypothesis based on the feedback data. Subsequent to the experience analytics system modifying the hypothesis, the recommendation engine provides recommendations that include the particular output based on the modified hypothesis.","1. A statistical machine learning system comprising:
an input module configured to receive user input that defines a hypothesis associated with a particular output, the hypothesis defining, based on an existing business knowledge associated to a purchasing process of a product, one or more starting criteria that are proposed as being correlated with the particular output;
at least one non-transitory computer-readable storage medium coupled to one or more processors configured to store data representative of the hypothesis defined by the user input;
a recommendation engine configured to access the data representative of the hypothesis and provide, during a first period of time, a recommendation to a first plurality of customers, the recommendation comprising the particular output based on the one or more starting criteria defined by the hypothesis; and
an experience analytics system configured to perform operations comprising:
receiving, from an application system, feedback data based on the one or more starting criteria defined by the hypothesis, the feedback data comprising a percentage of customers from the first plurality of customers accepting the recommendation and indicating that the hypothesis is to be adapted based on the percentage exceeding a first threshold and based on the percentage being below a second threshold,
receiving, from the application system, relevant data indicating that one or more starting criteria are correlated with the particular output, the relevant data not being a direct result of the recommendation, and
modifying the hypothesis based on the relevant data and on the feedback data by one or more of adding an updated criteria to the one or more starting criteria and removing one starting criteria from the one or more starting criteria,
wherein the recommendation engine is further configured to provide, during a second period of time that is subsequent to the first period of time, an updated recommendation to a second plurality of customers, the updated recommendation comprising the particular output based on the modified hypothesis.",Machine learning
Machine learning image processing,"A machine learning image processing system performs natural language processing (NLP) and auto-tagging for an image matching process. The system facilitates an interactive process, e.g., through a mobile application, to obtain an image and supplemental user input from a user to execute an image search. The supplemental user input may be provided from a user as speech or text, and NLP is performed on the supplemental user input to determine user intent and additional search attributes for the image search. Using the user intent and the additional search attributes, the system performs image matching on stored images that are tagged with attributes through an auto-tagging process.","1. A machine learning image processing system comprising:
a data repository storing images and tags for each image, wherein the tags for each image describe attributes of an object in each image;
a network interface to connect the machine learning image processing system to at least one network;
at least one processor to execute machine readable instructions stored on at least one non-transitory computer readable medium;
at least one data storage to store a plurality of image attribute machine learning classifiers, wherein the plurality of image attribute machine learning classifiers comprise convolutional neural networks trained to identify the attributes;
wherein the machine readable instructions comprise machine readable instructions for an auto-tagging subsystem, and the at least one processor is to execute the machine readable instructions for the auto-tagging subsystem to:
apply each image stored in the data repository to the plurality of image attribute machine learning classifiers;
determine predictions for a plurality of image attribute categories from outputs of the plurality of image attribute machine learning classifiers;
determine the attributes of the object in each image stored in the data repository from the predictions; and
tag each image stored in the data repository with the determined attributes for the object in each image,
wherein the machine readable instructions comprise machine readable instructions for an image matching subsystem, and the at least one processor is to execute the machine readable instructions for the image matching subsystem to:
receive, via the network interface, a target image from a mobile application connected to the machine learning image processing system via the at least one network;
receive, via the network interface, supplemental user input associated with the target image from the mobile application connected to the machine learning image processing system via the at least one network;
apply the target image to the plurality of image attribute machine learning classifiers;
determine predictions for the plurality of image attribute categories from applying the target image to the plurality of image attribute machine learning classifiers;
determine target image attributes for an object in the target image from the predictions determined by the plurality of image attribute machine learning classifiers;
apply the supplemental user input to a natural language processing model to determine at least one supplemental image search attribute;
identify a matching subset of the images stored in the data repository that match the target image based on image search attributes determined from the target image attributes and the at least one supplemental image search attribute; and transmit, via the network interface, the matching subset of images to the mobile application for display by the mobile application.",Machine learning
Active machine learning,"Technologies are described herein for active machine learning. An active machine learning method can include initiating active machine learning through an active machine learning system configured to train an auxiliary machine learning model to produce at least one new labeled observation, refining a capacity of a target machine learning model based on the active machine learning, and retraining the auxiliary machine learning model with the at least one new labeled observation subsequent to refining the capacity of the target machine learning model. Additionally, the target machine learning model is a limited-capacity machine learning model according to the description provided herein.","1. A method comprising:
initiating active machine learning through an active machine learning system configured to train an auxiliary machine learning model;
evaluating an unlabeled observation using the auxiliary machine learning model to generate a first score;
evaluating the unlabeled observation using a target machine learning model to generate a second score;
comparing the first score to the second score to calculate a magnitude of a difference between the first score and the second score;
identifying a machine learning feature using the magnitude;
updating the target machine learning model based at least on a refinement using the machine learning feature, wherein the target machine learning model includes a limited-capacity machine learning model;
retraining the auxiliary machine learning model with at least one new labeled observation subsequent to updating the target machine learning model, wherein the retrained version of the auxiliary machine learning model produces the at least one new labeled observation using the machine learning feature from the unlabeled observation subsequent to refining the capacity of the target machine learning model; and
providing the updated target machine learning model to a computing device capable of computation of device labels using the updated target machine learning model.",Machine learning
Machine learning with partial inversion,"An example embodiment may involve a machine learning model representing relationships between a dependent variable and a plurality of n independent variables. The dependent variable may be a function of the n independent variables, where the n independent variables are measurable characteristics of computing devices, and where the dependent variable is a predicted behavior of the computing devices. The embodiment may also involve obtaining a target value of the dependent variable, and separating the n independent variables into nâˆ’1 independent variables with fixed values and a particular independent variable with an unfixed value. The embodiment may also involve performing a partial inversion of the function to produce a value of the particular independent variable such that, when the function is applied to the value of the particular independent variable and the nâˆ’1 independent variables with fixed values, the dependent variable is within a pre-defined range of the target value.","1. A system comprising:
a machine learning model representing relationships between a dependent variable and a plurality of independent variables, including a first independent variable and a second independent variable, wherein the dependent variable is a function of the plurality of independent variables, wherein the first independent variable comprises an identifying characteristic of users of one or more computer-based services offered by a managed network, wherein the second independent variable comprises a type of communication directed to the users of the one or more computer-based services offered by a managed network, and wherein the dependent variable is a likelihood of a respective user performing a specific action in response to the communication when interacting with the one or more computer-based services; and
a computing device including a processor and memory, wherein execution, by the processor, of program instructions stored in the memory causes the computing device to perform operations comprising:
training the machine learning model to output the function of the dependent variable using a training data set, wherein the training data set comprises historical data for the plurality of independent variables and the dependent variable;
obtaining a target value of the dependent variable;
fixing the first independent variable at a fixed value;
performing a partial inversion of the function, using the fixed value of the first independent value and the target value of the dependent variable as inputs, to solve for the second independent variable to obtain a partially inverted function to produce one or more values of the second independent variable such that, when the partially inverted function is applied to the first independent variable having the fixed value and any of the one or more values of the second independent variable, the dependent variable is within a pre-defined range of the target value of the dependent variable, wherein solving for the second independent variable to obtain the partially inverted function comprises:
determining a plurality of candidate values of the second independent variable:
determining, for each of the plurality of candidate values of the second independent variable, a respective output value of the dependent variable when the fixed value of the first independent variable and the candidate value of the second independent variable are applied as inputs to the function and comparing the respective output value of the dependent variable to the target value of the dependent variable; and
outputting one or more of the plurality of candidate values of the second independent variable that, when input to the function with the fixed value of the first independent variable, result in the respective output value of the dependent variable being within the pre-defined range of the target value of the dependent variable;
generating a notification based on the produced one or more values of the second independent variable; and
communicating the notification to one or more of the users of the one or more computer-based services offered by a managed network.",Machine learning
Method and apparatus for machine learning,A disclosed machine learning method includes: calculating a first output error between a label and an output in a case where dropout in which values are replaced with 0 is executed for a last layer of a first channel among plural channels in a parallel neural network; calculating a second output error between the label and an output in a case where the dropout is not executed for the last layer of the first channel; and identifying at least one channel from the plural channels based on a difference between the first output error and the second output error to update parameters of the identified channel.,"1. A non-transitory computer-readable storage medium storing a program that causes a computer to execute a process, the process comprising:
calculating a first output error between a label and an output in a case where dropout in which values are replaced with 0 is executed for a last layer of a first channel among a plurality of channels in a parallel neural network;
calculating a second output error between the label and an output in a case where the dropout is not executed for the last layer of the first channel; and
identifying at least one channel from the plurality of channels based on a difference between the first output error and the second output error to update parameters of the identified channel.",Machine learning
Code completion with machine learning,"A code completion tool uses machine learning models to more precisely predict the likelihood of a method invocation completing a code fragment that follows one or more method invocations of a same class in a same document during program development. In one aspect, the machine learning model is a n-order Markov chain model that is trained on features that represent characteristics of the context of method invocations of a class in commonly-used programs from a sampled population.","1. A system comprising:
one or more processors; and a memory;
one or more programs, wherein the one or more programs are stored in memory and configured to be executed by the one or more processors, the one or more programs including instructions for:
generating a data structure representing a syntactic structure and a semantic model of a program;
extracting a plurality of features from the data structure to construct one or more feature vectors, the plurality of features including characteristics of a context of a method invocation found within a program, wherein the plurality of features includes a spatial position of a method invocation in the program; and
training a sequential model for a first class from the one or more feature vectors to predict a next method invocation for code completion following one or more preceding method invocations of a same class as the first class, wherein the sequential model includes one or more sequences of method invocations of a same class with probabilities for transitioning between each method invocation in the one or more sequences,
wherein the sequential model is an n-order Markov chain model.",Machine learning
Anomaly detection with machine learning,"The technology disclosed relates to machine learning based anomaly detection. In particular, it relates to constructing activity models on per-tenant and per-user basis using an online streaming machine learner that transforms an unsupervised learning problem into a supervised learning problem by fixing a target label and learning a regressor without a constant or intercept. Further, it relates to detecting anomalies in near real-time streams of security-related events of one or more tenants by transforming the events in categorized features and requiring a loss function analyzer to correlate, essentially through an origin, the categorized features with a target feature artificially labeled as a constant. It further includes determining an anomaly score for a production event based on calculated likelihood coefficients of categorized feature-value pairs and a prevalencist probability value of the production event comprising the coded features-value pairs.","1. A method of detecting an anomaly event that has not frequently been observed in an ongoing event stream of security-related events of one or more organizations, the method including:
evaluating a plurality of production events with production space IDs, including for a production event:
transforming features of the production event into categorical bins of a hash-space;
applying a hash function to the production space ID and the features of the production event as transformed to retrieve likelihood coefficients for the transformed features of the production event and a standard candle for the production space ID;
calculating an anomaly score;
when the anomaly score represents a detected anomaly event, accessing history associated with the production space ID to construct a contrast between feature-event pairs of the detected anomaly event and non-anomalous feature-value pairs of prior events for the production space ID; and
invoking one or more security actions including at least one of a quarantine, and an encryption, to be performed when anomalies are detected;
wherein the likelihood coefficients had been calculated by space ID and a standard candle and mapped into the hash-space using a loosely supervised machine learning of observed features in security-related events using a loss function analyzer and recording the standard candle.",Machine learning
Machine learning classifiers,"In an implementation, a non-transitory machine-readable storage medium stores instructions that when executed by a processor, cause the processor to allocate classifier data structures to persistent memory, read a number of categories from a set of training data, and populate the classifier data structures with training data including training-based, category and word probabilities calculated based on the training data.","1. A method of implementing a machine learning classifier, the method comprising:
allocating in persistent memory, a training structure comprising an array of categories, a category data structure for each category in the array, and a global data structure;
reading the categories of the array from training data;
for each category:
reading training statements from the training data;
splitting each training statement into an array of words;
incrementing a category word counter for each word;
calculating a category statement probability and storing it in the category data structure;
calculating a category word probability for each word and storing it in the category data structure;
calculating a global word probability for each word and storing it in the global data structure.",Machine learning
Machine learning model monitoring,"Technologies for monitoring performance of a machine learning model include receiving, by an unsupervised anomaly detection function, digital time series data for a feature metric; where the feature metric is computed for a feature that is extracted from an online system over a time interval; where the machine learning model is to produce model output that relates to one or more users' use of the online system; using the unsupervised anomaly detection function, detecting anomalies in the digital time series data; labeling a subset of the detected anomalies in response to a deviation of a time-series prediction model from a predicted baseline model exceeding a predicted deviation criterion; creating digital output that identifies the feature as associated with the labeled subset of the detected anomalies; causing, in response to the digital output, a modification of the machine learning model.","1. A method for monitoring performance of a machine learning model, the method comprising:
receiving, by an unsupervised anomaly detection function, digital time series data for a feature metric;
wherein the feature metric is computed for a feature that is extracted from an online system over a time interval;
wherein the feature represents one or more user interactions responsive to one or more program execution decisions of the online system;
wherein the machine learning model is to produce model output that relates to one or more users' use of the online system;
using the unsupervised anomaly detection function, detecting anomalies in the digital time series data;
labeling a subset of the detected anomalies in response to a deviation of a time-series prediction model from a predicted baseline model exceeding a predicted deviation criterion;
creating digital output that identifies the feature as associated with the labeled subset of the detected anomalies; and
causing, in response to the digital output, a modification of the machine learning model,
wherein the method is performed by one or more computing devices.",Machine learning
Machine learning dialect identification,"Technology is disclosed for creating and tuning classifiers for language dialects and for generating dialect-specific language modules. A computing device can receive an initial training data set as a current training data set. The selection process for the initial training data set can be achieved by receiving one or more initial content items, establishing dialect parameters of each of the initial content items, and sorting each of the initial content items into one or more dialect groups based on the established dialect parameters. The computing device can generate, based on the initial training data set, a dialect classifier configured to detect language dialects of content items to be classified. The computing device can augment the current training data set with additional training data by applying the dialect classifier to candidate content items. The computing device can then update the dialect classifier based on the augmented current training data set.","1. A method, comprising:
selecting, by a computing device, an initial training data set as a current training data set, wherein the initial training data set is selected by:
receiving one or more initial content items; and
establishing dialect parameters for two or more of the initial content items, wherein the dialect parameters identify a first of the two or more of the initial content items as being composed in a first dialect and identify a second of the two or more of the initial content items as being composed in a second dialect;
generating, by the computing device and based on the initial training data set and corresponding dialect parameters, a dialect classifier configured to detect language dialects of content items to be classified as being in one of two or more dialects, the two or more dialects including at least the first dialect and the second dialect;
augmenting, by the computing device, the current training data set with additional training data by applying the dialect classifier to candidate content items, wherein at least one of the candidate content items that is in the augmented current training data set was not included in the initial training data set;
updating the dialect classifier based on the augmented current training data set; and
returning the updated dialect classifier, wherein the updated dialect classifier is configured to identify additional content items that are not in the initial training data and are not in the augmented current training data set as being in one of the two or more dialects.",Machine learning
WEIGHT GENERATION IN MACHINE LEARNING,"Technologies are generally described for systems, devices and methods relating to a machine learning environment. In some examples, a processor may identify a training distribution of a training data. The processor may identify information about a test distribution of a test data. The processor may identify a coordinate of the training data and the test data. The processor may determine, for the coordinate, differences between the test distribution and the training distribution. The processor may determine weights based on the differences. The weights may be adapted to cause the training distribution to conform to the test distribution when the weights are applied to the training distribution.","1. A method to improve predictive capability of a machine learning system, the method comprising:
receiving, by a computer, training data that includes one or more points;
identifying, by the computer, a training distribution of the one or more points of the training data;
receiving, by the computer, test data that includes one or more points;
identifying, by the computer, information about a test distribution of the one or more points of the test data;
identifying, by the computer, one or more coordinates for the one or more points of the training data and the one or more points of the test data;
determining, for each identified coordinate and by the computer differences between the one or more points of the test data and the one or more points of the training data;
determining, by the computer, weights for the one or more points of the training data based on the determined differences, wherein the weights are adapted to cause the training distribution to conform to the test distribution in response to the weights being applied to the training distribution;
generating, by the computer, a weighted function based on the determined weights and the training data; and
generating, by the computer, a first output based on an application of an input to the generated weighted function, wherein the first output is different than a second output generated by an application of the input to a non-weighted function, wherein the first output and the second output respectively correspond to a first predictive capability and a second predictive capability of the machine learning system, and wherein the first predictive capability is greater than the second predictive capability.",Machine learning
"Machine learning apparatus, laser apparatus and machine learning method","A machine learning apparatus includes: a state amount observation unit that observes a state amount of a laser apparatus including output data from an optical output detection unit, an optical output characteristic recording unit that records history of a driving current and optical output characteristics, and a driving condition/state amount recording unit that records history of a LD unit driving condition data and the state amount; an operation result acquisition unit that acquires a prediction result of characteristics and measurement result of optical output characteristics of the LD unit; a learning unit that learns the LD unit driving condition data with the state amount and the results of the LD unit driving condition data; and a decision-making unit that decides, from a learning result, the LD unit driving condition data.","1. A machine learning apparatus for a laser apparatus that is provided with: a plurality of LD units including at least one or more laser diode modules; a power source unit that individually supplies a driving current to each LD unit; and a control unit that independently controls, for each LD unit, the driving current injected from the power source unit to each LD unit, and emits a laser light via a laser optical system by using a laser light from the plurality of LD units as a laser light source or as an excitation light source for laser oscillation, the machine learning apparatus being configured to learn LD unit driving condition data including output command data instructed to the power source unit,
the machine learning apparatus comprising:
a state amount observation unit that observes a state amount of the laser apparatus including output data from the power source unit, at least one or more optical output detection units that measure an optical output of the laser light, an optical output characteristic recording unit that records history of a measurement result of optical output characteristics of each LD unit obtained from the driving current output from the power source unit and the optical output, and a driving condition/state amount recording unit configured to record history of the LD unit driving condition data including at least a prediction result of a remaining life of each LD unit as a prediction result of characteristics of each LD unit output from the machine learning apparatus and history of the state amount of the laser apparatus;
an operation result acquisition unit that acquires, as results of the LD unit driving condition data, a difference between the prediction result of the characteristics of each LD unit including at least the prediction result of the remaining life of each LD unit recorded in the driving condition/state amount recording unit and the measurement result of the optical output characteristics of each LD unit and/or an estimation result from the measurement result;
a learning unit that receives an output from the state amount observation unit and an output from the operation result acquisition unit, and learns the LD unit driving condition data including at least the prediction result of the remaining life as the prediction result of the characteristics of each LD unit in association with the state amount of the laser apparatus and the results of the LD unit driving condition data; and
a decision-making unit that decides, by referring to a learning result of the learning unit, an LD unit driving condition data including at least a prediction result of the remaining life as the prediction result of the characteristics of each LD unit.",Machine learning
"Machine learning device, robot control system, and machine learning method","A machine learning device that acquires state information from a robot control inspection system. The system has a robot hand to hold a workpiece or camera. The state information includes a flaw detection position of the workpiece, a movement route of the robot hand, an imaging point of the workpiece, and the number of imaging by the camera. A reward calculator calculates a reward value in reinforcement learning based on flaw detection information including the flaw detection position. A value function updater updates an action value function by performing the reinforcement learning based on the reward value, the state information, and the action.","1. A machine learning device for use with, and configured to perform reinforcement learning with respect to a robot control system,
the robot control system comprising:
an illumination means that irradiates a surface to be inspected of an object to be inspected with illumination light;
an imaging means that images the surface to be inspected;
a robot that includes a robot hand;
a control unit that, while moving the robot hand gripping the object to be inspected or the imaging means, along a movement route including a plurality of imaging points set on the surface to be inspected so that the surface to be inspected is entirely covered by a plurality of images imaged by the imaging means, causes the imaging means to image the imaging points set on the surface to be inspected; and
a flaw inspection unit that detects a flaw on the surface to be inspected on the basis of the image obtained by imaging the surface to be inspected by the imaging means,
the machine learning device comprising:
an action information output unit that outputs action information including adjustment information of the imaging region including the imaging points, to the control unit;
a state information acquisition unit that acquires state information from the control unit and the flaw inspection unit resulting from a number N of images, obtained by imaging the surface to be inspected by the imaging means by moving the robot hand gripping the object to be inspected or the imaging means by the control unit, based on the action information, the state information including the number N and flaw detection information, the flaw detection information including a flaw detection position of the surface to be inspected, detected by the flaw inspection unit, with respect to each of a plurality of objects to be inspected prepared in advance;
a reward output unit that outputs a reward value in the reinforcement learning based on the number N and the flaw detection information including the flaw detection positions included in the state information; and
a value function updating unit that updates an action value function based on the reward value, the state information, and the action information.",Machine learning
Efficient machine learning method,"A computerized efficient machine learning method for classification of data and new class discovery inputs labeled data and unlabeled data into a computer memory for a computerized machine tool to perform (a) initial supervised learning using the labeled data to generate a classifier, (b) semi-supervised learning using the labeled data, the classifier and the unlabeled data to generate an updated classifier and high confidence data, (c) active learning using the updated classifier and the unlabeled data to generate a data label request and receive new class labeled data to generate augmented labeled data, (d) new class discovery using the updated classifier and the data label request to generate data of potential new classes and receive labels for potential new class data to generate new class labeled data, and (e) supervised learning using the high confidence data, the labeled data and the augmented labeled data to generate an output classifier.","1. A computerized efficient machine learning method for classification of data, comprising the steps of:
a) inputting labeled data and unlabeled data into a computer memory;
b) performing by a computer program of a computerized machine learning tool an initial supervised learning using the labeled data to generate a classifier;
c) performing by a computer program of the computerized machine learning tool a semi-supervised learning guided by a model assumption using the labeled data, the classifier and the unlabeled data to generate an updated classifier and high confidence data;
d) after step c), performing by a computer program of the computerized machine learning tool an active learning using the updated classifier and the unlabeled data to generate a data label request and receive labels for requested data to label a subset of the unlabeled data and generate augmented labeled data containing labels for high confidence data to update the model assumption for semi-supervised learning if the high confidence data is not verified by the labels for high confidence data, wherein the data label request is processed by an external labeler to generate the labels for requested data; and
e) performing by a computer program of the computerized machine learning tool a supervised learning using the high confidence data, the labeled data and the augmented labeled data to generate an output classifier.",Machine learning
Machine learning document processing,"A machine learning document processing system performs natural language processing (NLP) and machine learning to determine a subset of documents from a document dataset based on the structural features and semantic features. The system facilitates an interactive process, e.g., through a client application, to receive user input from a user to identify documents with a specific document feature category. The user input may be provided from a user as speech or text, and NLP is performed on the user input to determine user intent, the document features, and document feature category. Using the user intent and the additional document feature category, the system identifies subsets of the document dataset that matches the document feature category for display.","1. A machine learning document processing system comprising:
a data repository storing documents;
a network interface to connect the machine learning document processing system to at least one network;
at least one processor to execute machine readable instructions stored on at least one non-transitory computer readable medium;
at least one data storage to store a plurality of document feature machine learning classifiers;
wherein the machine readable instructions comprise machine readable instructions for a document decoder, and the at least one processor is to execute the machine readable instructions for the document decoder to, for each document in the data repository:
apply the document in the data repository to a semantic feature machine learning classifier and a structural feature machine learning classifier;
determine a semantic feature category from the output of the semantic feature machine learning classifier;
determine a structural feature category from the output of the structural feature machine learning classifier; and
determine a document feature category for each document in the data repository based on the semantic feature category and the structural feature category;
wherein the machine readable instructions comprise machine readable instructions for a document interpreter, and the at least one processor is to execute the machine readable instructions for the document interpreter to:
receive, via the network interface, a user input from a client application connected to the machine learning document interpreter via the at least one network;
determine at least a query document feature category based on the user input;
identify a matching subset of the documents stored in the data repository classified by the document decoder based on the determined query document feature category; and
transmit, via the network interface, the matching subset of the documents to the client application for display by the client application.",Machine learning
Machine learning for input fuzzing,Provided are methods and systems for automatically generating input grammars for grammar-based fuzzing by utilizing machine-learning techniques and sample inputs. Neural-network-based statistical learning techniques are used for the automatic generation of input grammars. Recurrent neural networks are used for learning a statistical input model that is also generative in that the model is used to generate new inputs based on the probability distribution of the learnt model.,"1. A method for generating input for testing an application, the method comprising:
receiving as input, at a server, (i) a learnt distribution model of Portable Document Format (PDF) object characters, (ii) a probability of fuzzing a character, and (iii) a threshold probability for modifying predicted characters;
sampling, at the server, the learnt distribution model to generate (i) a candidate next character in a sequence of characters in a PDF object and (ii) a probability of the candidate next character being an actual next character in the sequence;
responsive to determining that the probability of the candidate next character being the actual next character in the sequence is greater than the threshold probability for modifying predicted characters, sampling, at the server, the learnt distribution model to generate a new candidate next character in the sequence; and
generating an input for testing the application using the new candidate next character in the sequence.",Machine learning
Controller and machine learning device,"A machine learning device of a controller observes, as state variables that express a current state of an environment, feeding amount data indicating a feeding amount per unit cycle of a tool and vibration amount data indicating a vibration amount of a cutting part of the tool when the cutting part of the tool passes through the workpiece. In addition, the machine learning device acquires determination data indicating a propriety determination result of the vibration amount of the cutting part of the tool when the cutting part of the tool passes through the workpiece. Then, the machine learning device learns the feeding amount per unit cycle of the tool when the cutting part of the tool passes through the workpiece in association with the vibration amount data, using the state variables and the determination data.","1. A controller that determines a rotational speed of a tool and a feeding amount per unit cycle of a tool when a cutting part of the tool passes through and exits a workpiece in crosscut grooving, the controller comprising:
a processor for controlling the tool and performing a machine learning algorithm including:
controlling, by the processor, a first motor to rotate the tool at the rotational speed, and a second motor to move the cutting part of the tool along an axis to pass through and exit the workpiece at the feeding amount per unit cycle;
observing, by the processor, state variables that express a current operational state of an environment in which a learning target exists, the state variables including a feeding amount data indicating the feeding amount per unit cycle of the tool when the cutting part of the tool is controlled by the processor to exit the workpiece, and a rotational speed amount data indicating the rotational speed of the tool when the cutting part of the tool is controlled by the processor to exit the workpiece, a tool data indicating information on the tool, machining shape data indicating information on a machining shape, and a vibration amount data indicating a vibration amount of the cutting part of the tool when the cutting part of the tool is controlled by the processor to exit the workpiece;
acquiring, by the processor, determination data indicating a comparison between:
i) the vibration amount of the cutting part of the tool due to a current rapid change in the deflection of the tool when the processor controls the first motor and the second motor to rotate and move the cutting part of the tool to exit the workpiece, and
ii) a previous vibration amount of the cutting part of the tool due to a previous rapid change in the deflection of the tool when the processor previously controlled the first motor and the second motor to rotate and move the cutting part of the tool to make a previous exit from the workpiece;
computing, by the processor, a reward based on the comparison, the reward being positive when the comparison indicates that the vibration amount decreased as compared to the previous vibration amount, and the reward being negative when the comparison indicates that the vibration amount increased as compared to the previous vibration amount;
learning, by the processor, based on the state variables, the determination data and the reward, an adjusted rotational speed of the tool and an adjusted feeding amount per unit cycle of the tool which maintains a subsequent vibration due to a subsequent rapid change in the deflection of the tool when the cutting part of the tool exits the workpiece to within an allowable range in association with the tool data, the machining shape data, and the vibration amount data, using the state variables and the determination data;
controlling, by the processor, the first motor to rotate the tool at the adjusted rotational speed, and the second motor to move the cutting part of the tool along the axis to make a subsequent exit from the workpiece at the adjusted feeding amount per unit cycle; and
repeating, by the processor, the machine learning algorithm to maximize a total of the rewards to optimize the adjusted rotational speed and the adjusted feeding amount per unit cycle.",Machine learning
Mixed machine learning architecture,"A preprocessing module of a neural network has a first input and second input. The module generates multiple, different first latent vector representations of its first input, and multiple, different second latent vector representations of its second input. The module then models pairwise interactions between every unique pairwise combination of the first and second latent vector representations. The module then produces an intermediate output by combining the results of the modeled pairwise interactions.","1. A method comprising:
by a computing device, accessing a neural network having a module comprising embedding-pooling blocks, the module having a first input and a second input; and
by the computing device, using the module to:
process the first input to generate a plurality of first latent vector representations of the first input by submitting the first input to each of a first plurality of the embedding-pooling blocks, the plurality of first latent vector representations being different from each other and being respectively generated by the first plurality of the embedding-pooling blocks, wherein a number of the first plurality of the embedding-pooling blocks is determined based on a density of the first input;
process the second input to generate a plurality of second latent vector representations of the second input by submitting the second input to each of a second plurality of the embedding-pooling blocks, the plurality of second latent vector representations being different from each other and being respectively generated by the second plurality of the embedding-pooling blocks, wherein a number of the second plurality of the embedding-pooling blocks is determined based on a density of the second input;
determine unique pairwise combinations of latent vector representations, wherein each unique pairwise combination comprises latent vector representations selected from (1) the plurality of first latent vector representations of the first input and (2) the plurality of second latent vector representations of the second input;
model pairwise interactions between the unique pairwise combinations of latent vector representations; and
produce an intermediate output by combining results of the modeled pairwise interactions.",Machine learning
